id,wegklasse,hoogteniveau,straatnaam,indicatie_voet_fiets,indicatie_brug,indicatie_tunnel,indicatie_ov_bus,indicatie_spoor,indicatie_toegankelijkheid,type_veer_route,minimum_breedte,maximum_breedte,gewogen_gemiddelde_breedte,weight,maximum_snelheid,start_node_id,end_node_id,datum_extractie,geometrie,geometrie_epsg_4326
571388,osm_platform,1,,True,True,False,False,False,False,,,,,39.43,0.0,315509,315459,2023-07-25,"SRID=28992;LINESTRING(118107.57037927 484987.081614387,118101.131618749 484987.085214133,118068.143006256 484987.420834665)","[(52.35154890412955, 4.845722801182149), (52.35154850412951, 4.845628301182057), (52.351549304129556, 4.84514410118158)]"
571391,osm_platform,0,,True,False,False,False,False,False,,,,,19.66,0.0,315487,315483,2023-07-25,"SRID=28992;LINESTRING(118066.788880646 484994.860449292,118059.317573234 484994.452251242,118047.141407455 484994.398702601)","[(52.35161607496559, 4.84512341048404), (52.351611904129584, 4.845013801181447), (52.35161060412958, 4.844835101181263)]"
571393,osm_platform,0,,True,False,False,False,False,False,,,,,1.49,0.0,315495,315487,2023-07-25,"SRID=28992;LINESTRING(118068.274201486 484994.941600427,118066.788880646 484994.860449292)","[(52.351616904129585, 4.8451452011815865), (52.35161607496559, 4.84512341048404)]"
571396,osm_platform,0,Johan Huizingalaan,True,False,False,True,False,False,,,,,69.32,0.0,277294,277331,2023-07-25,"SRID=28992;LINESTRING(116857.91715962 484731.989930475,116857.860992248 484738.833387011,116857.355476012 484801.303522353)","[(52.34917100412817, 4.827411001163746), (52.34923250412822, 4.827409401163742), (52.34979390412855, 4.82739490116375)]"
571399,osm_platform,0,Johan Huizingalaan,True,False,False,True,False,False,,,,,0.26,0.0,277683,277682,2023-07-25,"SRID=28992;LINESTRING(116866.76549572 484661.515128865,116866.767363646 484661.254863148)","[(52.348538243073264, 4.827548844257994), (52.34853590412779, 4.827548901163848)]"
571401,osm_platform,0,Johan Huizingalaan,True,False,False,True,False,False,,,,,70.65,0.0,277728,277683,2023-07-25,"SRID=28992;LINESTRING(116866.12924016 484732.160175909,116866.314386908 484724.369940124,116866.76549572 484661.515128865)","[(52.34917310412818, 4.827531501163865), (52.34910310412815, 4.8275351011638605), (52.348538243073264, 4.827548844257994)]"
571404,osm_platform,0,,True,False,False,True,False,False,,,,,6.84,0.0,320362,320360,2023-07-25,"SRID=28992;LINESTRING(118366.060673711 484953.199530321,118366.900223191 484946.414109432)","[(52.35126169122952, 4.849520270368496), (52.351200764726585, 4.849533330849121)]"
571408,osm_platform,0,,True,False,False,True,False,False,,,,,3.02,0.0,320361,320362,2023-07-25,"SRID=28992;LINESTRING(118365.689821773 484956.19683608,118366.060673711 484953.199530321)","[(52.3512886041294, 4.849514501185932), (52.35126169122952, 4.849520270368496)]"
571411,osm_platform,0,,True,False,False,True,False,False,,,,,6.89,0.0,320360,320415,2023-07-25,"SRID=28992;LINESTRING(118366.900223191 484946.414109432,118366.936885446 484946.11779714,118368.326796438 484942.435630415,118369.909218257 484940.303284068)","[(52.351200764726585, 4.849533330849121), (52.351198104129345, 4.84953390118594), (52.35116510412932, 4.849554701185959), (52.35114604562871, 4.849578157828129)]"
571413,osm_platform,0,,True,False,False,True,False,False,,,,,4.84,0.0,320416,320418,2023-07-25,"SRID=28992;LINESTRING(118370.18981337 484939.925176312,118373.07609479 484936.035852007)","[(52.351142666173985, 4.849582317158941), (52.35110790412928, 4.849625101186033)]"
571416,osm_platform,0,,True,False,False,True,False,False,,,,,0.47,0.0,320415,320416,2023-07-25,"SRID=28992;LINESTRING(118369.909218257 484940.303284068,118370.18981337 484939.925176312)","[(52.35114604562871, 4.849578157828129), (52.351142666173985, 4.849582317158941)]"
571418,osm_platform,0,,True,False,False,True,False,False,,,,,8.09,0.0,321139,321121,2023-07-25,"SRID=28992;LINESTRING(118416.525137922 484983.692702232,118409.04636112 484986.785739053)","[(52.35153910412949, 4.850257601186684), (52.351566404129585, 4.850147501186571)]"
571421,osm_platform,0,,True,False,False,True,False,False,,,,,0.89,0.0,321137,321138,2023-07-25,"SRID=28992;LINESTRING(118422.636574566 484965.254770116,118422.50197756 484966.132955816)","[(52.351373804129445, 4.850349301186761), (52.35138168767073, 4.850347230289195)]"
571423,osm_platform,0,,True,False,False,True,False,False,,,,,11.68,0.0,321138,321140,2023-07-25,"SRID=28992;LINESTRING(118422.50197756 484966.132955816,118421.492672439 484972.718223552,118419.847493263 484977.460343432)","[(52.35138168767073, 4.850347230289195), (52.35144080412945, 4.85033170118675), (52.35148331336685, 4.850307039913304)]"
571426,osm_platform,0,,True,False,False,True,False,False,,,,,7.09,0.0,321140,321139,2023-07-25,"SRID=28992;LINESTRING(118419.847493263 484977.460343432,118419.271195584 484979.121483277,118416.525137922 484983.692702232)","[(52.35148331336685, 4.850307039913304), (52.35149820412949, 4.850298401186718), (52.35153910412949, 4.850257601186684)]"
571679,osm_platform,0,,True,False,False,False,False,False,,,,,2.28,0.0,267531,267532,2023-07-25,"SRID=28992;LINESTRING(116360.396123112 487668.843562448,116362.613176133 487668.303305174)","[(52.37553040414374, 4.819772001157399), (52.37552570475857, 4.819804619727069)]"
571686,osm_platform,0,,True,False,False,False,False,False,,,,,33.27,0.0,267532,267578,2023-07-25,"SRID=28992;LINESTRING(116362.613176133 487668.303305174,116394.938178559 487660.426264115)","[(52.37552570475857, 4.819804619727069), (52.375457185917455, 4.820280203125745)]"
571688,osm_platform,0,,True,False,False,False,False,False,,,,,35.51,0.0,267578,267736,2023-07-25,"SRID=28992;LINESTRING(116394.938178559 487660.426264115,116418.611765098 487654.657422686,116429.425376639 487651.980312961)","[(52.375457185917455, 4.820280203125745), (52.375407004143675, 4.82062850115825), (52.37538370414365, 4.820787601158402)]"
